! 1H energy loss (dE/dX) in Cr2O3
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
1.500000	0.162947  	1.500000	0.122825  	1.500000	0.122625  	1.500000	0.122625  	1.500000	0.122625  	1.500000	0.122748  	1.500000	7.76958e-05	
1.750000	0.146068  	1.750000	0.110821  	1.750000	0.110811  	1.750000	0.110811  	1.750000	0.110811  	1.750000	0.110753  	1.750000	6.80854e-05	
2.000000	0.132556  	2.000000	0.101236  	2.000000	0.101366  	2.000000	0.101366  	2.000000	0.101366  	2.000000	0.101175  	2.000000	6.07033e-05	
2.250000	0.121475  	2.250000	0.09338   	2.250000	0.0936088 	2.250000	0.0936088 	2.250000	0.0936088 	2.250000	0.0933252 	2.250000	5.48434e-05	
2.500000	0.11173   	2.500000	0.0868082 	2.500000	0.0871034 	2.500000	0.0871034 	2.500000	0.0871034 	2.500000	0.0867581 	2.500000	5.00714e-05	
3.000000	0.0975606 	3.000000	0.0763974 	3.000000	0.0767597 	3.000000	0.0767597 	3.000000	0.0767597 	3.000000	0.0763546 	3.000000	4.27535e-05	
3.500000	0.0868065 	3.500000	0.0684848 	3.500000	0.0688619 	3.500000	0.0688619 	3.500000	0.0688619 	3.500000	0.0684474 	3.500000	3.73903e-05	
4.000000	0.0783425 	4.000000	0.0622412 	4.000000	0.0626057 	4.000000	0.0626057 	4.000000	0.0626058 	4.000000	0.0622079 	4.000000	3.32808e-05	
4.500000	0.0714933 	4.500000	0.0571724 	4.500000	0.0575106 	4.500000	0.0575106 	4.500000	0.0575106 	4.500000	0.0571423 	4.500000	3.00254e-05	
5.000000	0.0658281 	5.000000	0.0529646 	5.000000	0.0532699 	5.000000	0.0532699 	5.000000	0.0532699 	5.000000	0.0529372 	5.000000	2.73791e-05	
5.500000	0.0610583 	5.500000	0.0494084 	5.500000	0.0496782 	5.500000	0.0496782 	5.500000	0.0496782 	5.500000	0.0493832 	5.500000	2.5183e-05	
6.000000	0.056983  	6.000000	0.046358  	6.000000	0.046592  	6.000000	0.046592  	6.000000	0.0465921 	6.000000	0.0463346 	6.000000	2.33295e-05	
6.500000	0.0534578 	6.500000	0.0437089 	6.500000	0.0439081 	6.500000	0.0439081 	6.500000	0.0439082 	6.500000	0.0436871 	6.500000	2.17431e-05	
7.000000	0.0503763 	7.000000	0.041384  	7.000000	0.04155   	7.000000	0.04155   	7.000000	0.04155   	7.000000	0.0413636 	7.000000	2.0369e-05	
7.500000	0.0476579 	7.500000	0.039325  	7.500000	0.0394596 	7.500000	0.0394596 	7.500000	0.0394596 	7.500000	0.0393059 	7.500000	1.91666e-05	
8.000000	0.0452408 	8.000000	0.0374872 	8.000000	0.0375923 	8.000000	0.0375923 	8.000000	0.0375923 	8.000000	0.0374691 	8.000000	1.8105e-05	
8.500000	0.0430766 	8.500000	0.0358353 	8.500000	0.0359129 	8.500000	0.0359129 	8.500000	0.0359129 	8.500000	0.0358182 	8.500000	1.71606e-05	
9.000000	0.0411268 	9.000000	0.0343415 	9.000000	0.0343935 	9.000000	0.0343935 	9.000000	0.0343935 	9.000000	0.0343252 	9.000000	1.63146e-05	
9.500000	0.0393604 	9.500000	0.0329833 	9.500000	0.0330114 	9.500000	0.0330114 	9.500000	0.0330115 	9.500000	0.0329678 	9.500000	1.55521e-05	
10.000000	0.0377522 	10.000000	0.031958  	10.000000	0.0317483 	10.000000	0.0317483 	10.000000	0.0317483 	10.000000	0.0319431 	10.000000	1.48612e-05	
11.000000	0.0349308 	11.000000	0.0297706 	11.000000	0.0295155 	11.000000	0.0295158 	11.000000	0.0295131 	11.000000	0.029757  	11.000000	1.36567e-05	
12.000000	0.0325348 	12.000000	0.0278813 	12.000000	0.0276049 	12.000000	0.0276055 	12.000000	0.0276032 	12.000000	0.0278687 	12.000000	1.26412e-05	
13.000000	0.030473  	13.000000	0.026233  	13.000000	0.0259501 	13.000000	0.0259505 	13.000000	0.025949  	13.000000	0.0262213 	13.000000	1.17729e-05	
14.000000	0.0286789 	14.000000	0.0247823 	14.000000	0.0245014 	14.000000	0.0245014 	14.000000	0.0245006 	14.000000	0.0247713 	14.000000	1.10214e-05	
