! 1H energy loss (dE/dX) in Cr2O3
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
740.000000	0.0019157 	740.000000	0.00180595	740.000000	0.001792  	740.000000	0.00178993	740.000000	0.0017919 	740.000000	0.00180565	740.000000	2.99144e-07	
760.000000	0.00189942	760.000000	0.00179199	760.000000	0.00177835	760.000000	0.00177628	760.000000	0.00177824	760.000000	0.0017917 	760.000000	2.91865e-07	
780.000000	0.0018841 	780.000000	0.00177887	780.000000	0.00176547	780.000000	0.00176344	780.000000	0.00176539	780.000000	0.00177858	780.000000	2.84944e-07	
800.000000	0.00186968	800.000000	0.00176652	800.000000	0.00175337	800.000000	0.00175137	800.000000	0.00175331	800.000000	0.00176624	800.000000	2.78356e-07	
820.000000	0.00185609	820.000000	0.00175489	820.000000	0.00174198	820.000000	0.00173999	820.000000	0.00174192	820.000000	0.00175462	820.000000	2.72076e-07	
840.000000	0.00184327	840.000000	0.00174392	840.000000	0.00173124	840.000000	0.00172927	840.000000	0.00173119	840.000000	0.00174366	840.000000	2.66083e-07	
860.000000	0.00183118	860.000000	0.00173358	860.000000	0.0017211 	860.000000	0.00171915	860.000000	0.00172106	860.000000	0.00173332	860.000000	2.60357e-07	
880.000000	0.00181977	880.000000	0.00172382	880.000000	0.00171153	880.000000	0.00170959	880.000000	0.0017115 	880.000000	0.00172357	880.000000	2.54882e-07	
900.000000	0.001809  	900.000000	0.00171461	900.000000	0.00170248	900.000000	0.00170056	900.000000	0.00170246	900.000000	0.00171436	900.000000	2.4964e-07	
920.000000	0.00179882	920.000000	0.0017059 	920.000000	0.00169393	920.000000	0.00169202	920.000000	0.00169391	920.000000	0.00170565	920.000000	2.44616e-07	
940.000000	0.0017892 	940.000000	0.00169767	940.000000	0.00168583	940.000000	0.00168393	940.000000	0.00168582	940.000000	0.00169743	940.000000	2.39799e-07	
960.000000	0.00178011	960.000000	0.00168988	960.000000	0.00167816	960.000000	0.00167628	960.000000	0.00167816	960.000000	0.00168965	960.000000	2.35174e-07	
980.000000	0.00177152	980.000000	0.00168252	980.000000	0.0016709 	980.000000	0.00166902	980.000000	0.0016709 	980.000000	0.00168229	980.000000	2.3073e-07	
1000.000000	0.00176339	1000.000000	0.00167555	1000.000000	0.00166401	1000.000000	0.00166215	1000.000000	0.00166402	1000.000000	0.00167532	1000.000000	2.26457e-07	
1020.000000	0.00175571	1020.000000	0.00166896	1020.000000	0.00165747	1020.000000	0.00165562	1020.000000	0.00165749	1020.000000	0.00166874	1020.000000	2.22344e-07	
1040.000000	0.00174845	1040.000000	0.00166272	1040.000000	0.00165127	1040.000000	0.00164943	1040.000000	0.00165129	1040.000000	0.0016625 	1040.000000	2.18384e-07	
1060.000000	0.00174159	1060.000000	0.00165681	1060.000000	0.00164538	1060.000000	0.00164355	1060.000000	0.00164541	1060.000000	0.00165659	1060.000000	2.14568e-07	
1080.000000	0.0017351 	1080.000000	0.00165121	1080.000000	0.00163978	1080.000000	0.00163797	1080.000000	0.00163982	1080.000000	0.001651  	1080.000000	2.10887e-07	
1100.000000	0.00172897	1100.000000	0.00164592	1100.000000	0.00163447	1100.000000	0.00163266	1100.000000	0.00163451	1100.000000	0.00164571	1100.000000	2.07334e-07	
1120.000000	0.00172318	1120.000000	0.00164091	1120.000000	0.00162942	1120.000000	0.00162762	1120.000000	0.00162946	1120.000000	0.0016407 	1120.000000	2.03904e-07	
1140.000000	0.00171771	1140.000000	0.00163616	1140.000000	0.00162462	1140.000000	0.00162282	1140.000000	0.00162466	1140.000000	0.00163596	1140.000000	2.00589e-07	
1160.000000	0.00171255	1160.000000	0.00163167	1160.000000	0.00162005	1160.000000	0.00161826	1160.000000	0.00162009	1160.000000	0.00163147	1160.000000	1.97384e-07	
1180.000000	0.00170768	1180.000000	0.00162742	1180.000000	0.0016157 	1180.000000	0.00161392	1180.000000	0.00161575	1180.000000	0.00162722	1180.000000	1.94283e-07	
1200.000000	0.00170309	1200.000000	0.0016234 	1200.000000	0.00161156	1200.000000	0.00160979	1200.000000	0.00161161	1200.000000	0.00162321	1200.000000	1.91282e-07	
1220.000000	0.00169876	1220.000000	0.0016196 	1220.000000	0.00160761	1220.000000	0.00160586	1220.000000	0.00160768	1220.000000	0.00161941	1220.000000	1.88375e-07	
1240.000000	0.00169469	1240.000000	0.001616  	1240.000000	0.00160386	1240.000000	0.00160212	1240.000000	0.00160393	1240.000000	0.00161582	1240.000000	1.85559e-07	
1260.000000	0.00169086	1260.000000	0.00161261	1260.000000	0.00160028	1260.000000	0.00159856	1260.000000	0.00160037	1260.000000	0.00161242	1260.000000	1.82828e-07	
1280.000000	0.00168726	1280.000000	0.0016094 	1280.000000	0.00159688	1280.000000	0.00159516	1280.000000	0.00159697	1280.000000	0.00160922	1280.000000	1.80179e-07	
1300.000000	0.00168389	1300.000000	0.00160638	1300.000000	0.00159365	1300.000000	0.00159193	1300.000000	0.00159373	1300.000000	0.0016062 	1300.000000	1.77609e-07	
1320.000000	0.00168072	1320.000000	0.00160352	1320.000000	0.00159058	1320.000000	0.00158885	1320.000000	0.00159065	1320.000000	0.00160335	1320.000000	1.75113e-07	
1340.000000	0.00167776	1340.000000	0.00160084	1340.000000	0.00158767	1340.000000	0.00158592	1340.000000	0.00158772	1340.000000	0.00160066	1340.000000	1.72689e-07	
1360.000000	0.001675  	1360.000000	0.00159831	1360.000000	0.0015849 	1360.000000	0.00158313	1360.000000	0.00158492	1360.000000	0.00159814	1360.000000	1.70334e-07	
1380.000000	0.00167242	1380.000000	0.00159593	1380.000000	0.00158226	1380.000000	0.00158047	1380.000000	0.00158226	1380.000000	0.00159576	1380.000000	1.68044e-07	
1400.000000	0.00167003	1400.000000	0.00159369	1400.000000	0.00157975	1400.000000	0.00157794	1400.000000	0.00157972	1400.000000	0.00159353	1400.000000	1.65817e-07	
1420.000000	0.0016678 	1420.000000	0.0015916 	1420.000000	0.00157736	1420.000000	0.00157553	1420.000000	0.00157731	1420.000000	0.00159144	1420.000000	1.63651e-07	
1440.000000	0.00166575	1440.000000	0.00158964	1440.000000	0.00157508	1440.000000	0.00157323	1440.000000	0.00157501	1440.000000	0.00158948	1440.000000	1.61542e-07	
1460.000000	0.00166385	1460.000000	0.0015878 	1460.000000	0.0015729 	1460.000000	0.00157104	1460.000000	0.00157282	1460.000000	0.00158764	1460.000000	1.59489e-07	
1480.000000	0.00166211	1480.000000	0.00158609	1480.000000	0.00157082	1480.000000	0.00156896	1480.000000	0.00157073	1480.000000	0.00158593	1480.000000	1.57489e-07	
1500.000000	0.00166051	1500.000000	0.0015845 	1500.000000	0.00156883	1500.000000	0.00156697	1500.000000	0.00156875	1500.000000	0.00158434	1500.000000	1.5554e-07	
1520.000000	0.00165906	1520.000000	0.00158302	1520.000000	0.00156694	1520.000000	0.00156509	1520.000000	0.00156686	1520.000000	0.00158286	1520.000000	1.53641e-07	
1540.000000	0.00165774	1540.000000	0.00158165	1540.000000	0.00156514	1540.000000	0.00156329	1540.000000	0.00156506	1540.000000	0.00158149	1540.000000	1.51789e-07	
1560.000000	0.00165656	1560.000000	0.00158038	1560.000000	0.00156342	1560.000000	0.00156159	1560.000000	0.00156335	1560.000000	0.00158023	1560.000000	1.49983e-07	
1580.000000	0.00165551	1580.000000	0.00157921	1580.000000	0.00156179	1580.000000	0.00155996	1580.000000	0.00156173	1580.000000	0.00157906	1580.000000	1.48221e-07	
1600.000000	0.00165458	1600.000000	0.00157814	1600.000000	0.00156024	1600.000000	0.00155842	1600.000000	0.00156018	1600.000000	0.001578  	1600.000000	1.46501e-07	
1620.000000	0.00165377	1620.000000	0.00157717	1620.000000	0.00155876	1620.000000	0.00155695	1620.000000	0.00155871	1620.000000	0.00157702	1620.000000	1.44822e-07	
1640.000000	0.00165308	1640.000000	0.00157628	1640.000000	0.00155736	1640.000000	0.00155556	1640.000000	0.00155732	1640.000000	0.00157614	1640.000000	1.43182e-07	
1660.000000	0.0016525 	1660.000000	0.00157548	1660.000000	0.00155604	1660.000000	0.00155424	1660.000000	0.001556  	1660.000000	0.00157534	1660.000000	1.41581e-07	
1680.000000	0.00165202	1680.000000	0.00157476	1680.000000	0.00155478	1680.000000	0.00155299	1680.000000	0.00155474	1680.000000	0.00157462	1680.000000	1.40016e-07	
1700.000000	0.00165165	1700.000000	0.00157413	1700.000000	0.00155359	1700.000000	0.0015518 	1700.000000	0.00155355	1700.000000	0.00157399	1700.000000	1.38486e-07	
1750.000000	0.00165117	1750.000000	0.00157288	1750.000000	0.00155088	1750.000000	0.0015491 	1750.000000	0.00155084	1750.000000	0.00157274	1750.000000	1.34809e-07	
1800.000000	0.00165126	1800.000000	0.00157208	1800.000000	0.00154853	1800.000000	0.00154675	1800.000000	0.00154849	1800.000000	0.00157195	1800.000000	1.31329e-07	
1850.000000	0.00165191	1850.000000	0.00157169	1850.000000	0.00154649	1850.000000	0.00154472	1850.000000	0.00154646	1850.000000	0.00157156	1850.000000	1.2803e-07	
1900.000000	0.00165305	1900.000000	0.00157167	1900.000000	0.00154475	1900.000000	0.00154299	1900.000000	0.00154472	1900.000000	0.00157155	1900.000000	1.24898e-07	
1950.000000	0.00165467	1950.000000	0.00157201	1950.000000	0.00154327	1950.000000	0.00154151	1950.000000	0.00154324	1950.000000	0.00157189	1950.000000	1.21921e-07	
2000.000000	0.00165672	2000.000000	0.00157268	2000.000000	0.00154203	2000.000000	0.00154028	2000.000000	0.00154201	2000.000000	0.00157256	2000.000000	1.19087e-07	
2100.000000	0.00166202	2100.000000	0.00157489	2100.000000	0.00154018	2100.000000	0.00153845	2100.000000	0.00154017	2100.000000	0.00157477	2100.000000	1.13809e-07	
2200.000000	0.00166877	2200.000000	0.00157814	2200.000000	0.00153908	2200.000000	0.00153736	2200.000000	0.00153907	2200.000000	0.00157803	2200.000000	1.08993e-07	
2300.000000	0.00167679	2300.000000	0.00158229	2300.000000	0.00153858	2300.000000	0.00153687	2300.000000	0.00153858	2300.000000	0.00158219	2300.000000	1.04581e-07	
2400.000000	0.00168594	2400.000000	0.00158724	2400.000000	0.00153861	2400.000000	0.00153691	2400.000000	0.00153861	2400.000000	0.00158714	2400.000000	1.00523e-07	
2500.000000	0.0016961 	2500.000000	0.00159288	2500.000000	0.00153907	2500.000000	0.00153738	2500.000000	0.00153908	2500.000000	0.00159278	2500.000000	9.67781e-08	
2600.000000	0.00170719	2600.000000	0.00159914	2600.000000	0.0015399 	2600.000000	0.00153821	2600.000000	0.00153991	2600.000000	0.00159905	2600.000000	9.33109e-08	
2700.000000	0.0017191 	2700.000000	0.00160595	2700.000000	0.00154104	2700.000000	0.00153936	2700.000000	0.00154106	2700.000000	0.00160586	2700.000000	9.00912e-08	
2800.000000	0.00173177	2800.000000	0.00161324	2800.000000	0.00154245	2800.000000	0.00154078	2800.000000	0.00154247	2800.000000	0.00161315	2800.000000	8.70932e-08	
2900.000000	0.00174513	2900.000000	0.00162097	2900.000000	0.00154409	2900.000000	0.00154242	2900.000000	0.0015441 	2900.000000	0.00162088	2900.000000	8.42945e-08	
3000.000000	0.00175913	3000.000000	0.00162909	3000.000000	0.00154591	3000.000000	0.00154425	3000.000000	0.00154593	3000.000000	0.00162901	3000.000000	8.16758e-08	
3200.000000	0.00178884	3200.000000	0.00164635	3200.000000	0.00155003	3200.000000	0.00154838	3200.000000	0.00155006	3200.000000	0.00164628	3200.000000	7.69119e-08	
3400.000000	0.00182058	3400.000000	0.00166478	3400.000000	0.00155463	3400.000000	0.00155298	3400.000000	0.00155466	3400.000000	0.00166471	3400.000000	7.26891e-08	
3600.000000	0.00185409	3600.000000	0.00168416	3600.000000	0.00155956	3600.000000	0.00155792	3600.000000	0.00155959	3600.000000	0.0016841 	3600.000000	6.89192e-08	
3800.000000	0.00188917	3800.000000	0.00170435	3800.000000	0.00156473	3800.000000	0.0015631 	3800.000000	0.00156476	3800.000000	0.00170429	3800.000000	6.55324e-08	
4000.000000	0.00192565	4000.000000	0.00172522	4000.000000	0.00157006	4000.000000	0.00156843	4000.000000	0.00157009	4000.000000	0.00172515	4000.000000	6.24725e-08	
4200.000000	0.0019634 	4200.000000	0.00174666	4200.000000	0.00157548	4200.000000	0.00157386	4200.000000	0.00157552	4200.000000	0.0017466 	4200.000000	5.9694e-08	
4400.000000	0.00200231	4400.000000	0.00176859	4400.000000	0.00158097	4400.000000	0.00157935	4400.000000	0.00158101	4400.000000	0.00176853	4400.000000	5.71594e-08	
4600.000000	0.00204228	4600.000000	0.00179094	4600.000000	0.00158648	4600.000000	0.00158486	4600.000000	0.00158652	4600.000000	0.00179089	4600.000000	5.48375e-08	
4800.000000	0.00208325	4800.000000	0.00181366	4800.000000	0.00159198	4800.000000	0.00159037	4800.000000	0.00159202	4800.000000	0.00181361	4800.000000	5.27025e-08	
5000.000000	0.00212513	5000.000000	0.00183669	5000.000000	0.00159746	5000.000000	0.00159585	5000.000000	0.0015975 	5000.000000	0.00183664	5000.000000	5.07324e-08	
5250.000000	0.00217871	5250.000000	0.00186587	5250.000000	0.00160425	5250.000000	0.00160265	5250.000000	0.00160429	5250.000000	0.00186583	5250.000000	4.84737e-08	
5500.000000	0.00223354	5500.000000	0.00189542	5500.000000	0.00161096	5500.000000	0.00160936	5500.000000	0.001611  	5500.000000	0.00189537	5500.000000	4.64133e-08	
6000.000000	0.00234673	6000.000000	0.0019554 	6000.000000	0.00162407	6000.000000	0.00162247	6000.000000	0.00162411	6000.000000	0.00195536	6000.000000	4.27907e-08	
6500.000000	0.00246421	6500.000000	0.00201631	6500.000000	0.00163672	6500.000000	0.00163513	6500.000000	0.00163676	6500.000000	0.00201627	6500.000000	3.97072e-08	
7000.000000	0.00258565	7000.000000	0.00207791	7000.000000	0.00164888	7000.000000	0.00164729	7000.000000	0.00164892	7000.000000	0.00207787	7000.000000	3.705e-08 	
7500.000000	0.0027108 	7500.000000	0.00214003	7500.000000	0.00166055	7500.000000	0.00165896	7500.000000	0.00166059	7500.000000	0.00213999	7500.000000	3.47355e-08	
8000.000000	0.00283946	8000.000000	0.00220254	8000.000000	0.00167174	8000.000000	0.00167015	8000.000000	0.00167178	8000.000000	0.0022025 	8000.000000	3.27009e-08	
8500.000000	0.0029715 	8500.000000	0.00226534	8500.000000	0.00168247	8500.000000	0.00168088	8500.000000	0.0016825 	8500.000000	0.00226531	8500.000000	3.08978e-08	
9000.000000	0.00310679	9000.000000	0.00232837	9000.000000	0.00169275	9000.000000	0.00169117	9000.000000	0.00169279	9000.000000	0.00232834	9000.000000	2.92887e-08	
9500.000000	0.00324525	9500.000000	0.00239156	9500.000000	0.00170263	9500.000000	0.00170105	9500.000000	0.00170266	9500.000000	0.00239154	9500.000000	2.78433e-08	
10000.000000	0.0033868 	10000.000000	0.00245488	10000.000000	0.00171214	10000.000000	0.00171054	10000.000000	0.00171215	10000.000000	0.00245486	10000.000000	2.65379e-08	
11000.000000	0.00367897	11000.000000	0.00258177	11000.000000	0.00173002	11000.000000	0.00172844	11000.000000	0.00173004	11000.000000	0.00258174	11000.000000	2.42718e-08	
12000.000000	0.00398296	12000.000000	0.00270882	12000.000000	0.00174657	12000.000000	0.00174505	12000.000000	0.00174664	12000.000000	0.0027088 	12000.000000	2.23717e-08	
13000.000000	0.00429854	13000.000000	0.0028359 	13000.000000	0.00176203	13000.000000	0.00176052	13000.000000	0.0017621 	13000.000000	0.00283588	13000.000000	2.07549e-08	
14000.000000	0.00462557	14000.000000	0.00296294	14000.000000	0.00177658	14000.000000	0.00177498	14000.000000	0.00177655	14000.000000	0.00296292	14000.000000	1.93619e-08	
15000.000000	0.00496393	15000.000000	0.00308987	15000.000000	0.00179028	15000.000000	0.00178855	15000.000000	0.00179011	15000.000000	0.00308985	15000.000000	1.81488e-08	
16000.000000	0.00531356	16000.000000	0.00321666	16000.000000	0.00180314	16000.000000	0.00180132	16000.000000	0.00180287	16000.000000	0.00321664	16000.000000	1.70827e-08	
17000.000000	0.00567442	17000.000000	0.00334327	17000.000000	0.00181522	17000.000000	0.00181337	17000.000000	0.00181491	17000.000000	0.00334325	17000.000000	1.61381e-08	
18000.000000	0.00604651	18000.000000	0.0034697 	18000.000000	0.00182658	18000.000000	0.00182478	18000.000000	0.00182631	18000.000000	0.00346968	18000.000000	1.52953e-08	
19000.000000	0.0064298 	19000.000000	0.00359593	19000.000000	0.0018373 	19000.000000	0.0018356 	19000.000000	0.00183712	19000.000000	0.00359591	19000.000000	1.45383e-08	
20000.000000	0.0068243 	20000.000000	0.00372195	20000.000000	0.00184745	20000.000000	0.0018459 	20000.000000	0.0018474 	20000.000000	0.00372194	20000.000000	1.38548e-08	
21000.000000	0.00723004	21000.000000	0.00384777	21000.000000	0.00185714	21000.000000	0.00185571	21000.000000	0.0018572 	21000.000000	0.00384776	21000.000000	1.32343e-08	
22000.000000	0.00764704	22000.000000	0.00397338	22000.000000	0.00186651	22000.000000	0.00186509	22000.000000	0.00186656	22000.000000	0.00397336	22000.000000	1.26685e-08	
23000.000000	0.00807532	23000.000000	0.00409878	23000.000000	0.00187549	23000.000000	0.00187405	23000.000000	0.00187552	23000.000000	0.00409877	23000.000000	1.21504e-08	
24000.000000	0.00851492	24000.000000	0.00422397	24000.000000	0.00188408	24000.000000	0.00188265	24000.000000	0.0018841 	24000.000000	0.00422396	24000.000000	1.16741e-08	
25000.000000	0.00896588	25000.000000	0.00434896	25000.000000	0.00189233	25000.000000	0.0018909 	25000.000000	0.00189233	25000.000000	0.00434895	25000.000000	1.12347e-08	
26000.000000	0.00942823	26000.000000	0.00447375	26000.000000	0.00190026	26000.000000	0.00189884	26000.000000	0.00190025	26000.000000	0.00447374	26000.000000	1.08281e-08	
27000.000000	0.00990203	27000.000000	0.00459835	27000.000000	0.00190791	27000.000000	0.00190648	27000.000000	0.00190787	27000.000000	0.00459834	27000.000000	1.04507e-08	
28000.000000	0.0103873 	28000.000000	0.00472275	28000.000000	0.00191527	28000.000000	0.00191384	28000.000000	0.00191522	28000.000000	0.00472274	28000.000000	1.00994e-08	
29000.000000	0.0108842 	29000.000000	0.00484696	29000.000000	0.00192236	29000.000000	0.00192094	29000.000000	0.0019223 	29000.000000	0.00484695	29000.000000	9.7716e-09	
30000.000000	0.0113926 	30000.000000	0.00497098	30000.000000	0.00192918	30000.000000	0.00192781	30000.000000	0.00192915	30000.000000	0.00497097	30000.000000	9.46498e-09	
32000.000000	0.0124444 	32000.000000	0.00521849	32000.000000	0.00194217	32000.000000	0.00194088	32000.000000	0.00194218	32000.000000	0.00521848	32000.000000	8.90751e-09	
34000.000000	0.0135433 	34000.000000	0.00546531	34000.000000	0.00195437	34000.000000	0.00195316	34000.000000	0.00195442	34000.000000	0.0054653 	34000.000000	8.41368e-09	
36000.000000	0.0146896 	36000.000000	0.00571146	36000.000000	0.00196589	36000.000000	0.00196473	36000.000000	0.00196594	36000.000000	0.00571145	36000.000000	7.97309e-09	
38000.000000	0.0158839 	38000.000000	0.00595697	38000.000000	0.0019768 	38000.000000	0.00197567	38000.000000	0.00197683	38000.000000	0.00595696	38000.000000	7.57751e-09	
40000.000000	0.0171266 	40000.000000	0.00620188	40000.000000	0.00198714	40000.000000	0.00198604	40000.000000	0.00198716	40000.000000	0.00620187	40000.000000	7.22031e-09	
42000.000000	0.0184183 	42000.000000	0.0064462 	42000.000000	0.00199697	42000.000000	0.0019959 	42000.000000	0.00199696	42000.000000	0.0064462 	42000.000000	6.89612e-09	
44000.000000	0.0197595 	44000.000000	0.00668997	44000.000000	0.00200633	44000.000000	0.0020053 	44000.000000	0.0020063 	44000.000000	0.00668997	44000.000000	6.60053e-09	
46000.000000	0.0211505 	46000.000000	0.00693321	46000.000000	0.00201525	46000.000000	0.00201426	46000.000000	0.00201521	46000.000000	0.0069332 	46000.000000	6.32989e-09	
48000.000000	0.0225921 	48000.000000	0.00717593	48000.000000	0.00202379	48000.000000	0.00202284	48000.000000	0.00202373	48000.000000	0.00717592	48000.000000	6.08113e-09	
50000.000000	0.0240847 	50000.000000	0.00741816	50000.000000	0.00203195	50000.000000	0.00203107	50000.000000	0.00203189	50000.000000	0.00741815	50000.000000	5.85169e-09	
